age_ka,d18Ow_IV,SL_m
40195,-0.978,65.1
40194,-0.978,65.1
40193,-0.978,65.1
40192,-0.978,65.1
40191,-0.978,65.1
40190,-0.978,65.1
40189,-0.978,65.1
40188,-0.978,65.1
40187,-0.978,65.1
40186,-0.978,65.1
40185,-0.978,65.1
40184,-0.978,65.1
40183,-0.978,65.1
40182,-0.978,65.1
40181,-0.978,65.1
40180,-0.978,65.1
40179,-0.978,65.1
40178,-0.978,65.1
40177,-0.978,65.1
40176,-0.978,65.1
40175,-0.978,65.1
40174,-0.978,65.1
40173,-0.978,65.1
40172,-0.978,65.1
40171,-0.978,65.1
40170,-0.978,65.1
40169,-0.978,65.1
40168,-0.978,65.1
40167,-0.978,65.1
40166,-0.978,65.1
40165,-0.978,65.1
40164,-0.978,65.1
40163,-0.978,65.1
40162,-0.978,65.1
40161,-0.978,65.1
40160,-0.978,65.1
40159,-0.978,65.1
40158,-0.978,65.1
40157,-0.978,65.1
40156,-0.978,65.1
40155,-0.978,65.1
40154,-0.978,65.1
40153,-0.978,65.1
40152,-0.978,65.1
40151,-0.978,65.1
40150,-0.978,65.1
40149,-0.978,65.1
40148,-0.978,65.1
40147,-0.978,65.1
40146,-0.978,65.1
40145,-0.978,65.1
40144,-0.978,65.1
40143,-0.978,65.1
40142,-0.978,65.1
40141,-0.978,65.1
40140,-0.978,65.1
40139,-0.978,65.1
40138,-0.978,65.1
40137,-0.978,65.1
40136,-0.978,65.1
40135,-0.978,65.1
40134,-0.978,65.1
40133,-0.978,65.1
40132,-0.978,65.1
40131,-0.978,65.1
40130,-0.978,65.1
40129,-0.978,65.1
40128,-0.978,65.1
40127,-0.978,65.1
40126,-0.978,65.1
40125,-0.978,65.1
40124,-0.978,65.1
40123,-0.978,65.1
40122,-0.978,65.1
40121,-0.978,65.1
40120,-0.978,65.1
40119,-0.978,65.1
40118,-0.978,65.1
40117,-0.978,65.1
40116,-0.978,65.1
40115,-0.978,65.1
40114,-0.978,65.1
40113,-0.978,65.1
40112,-0.978,65.1
40111,-0.978,65.1
40110,-0.978,65.1
40109,-0.978,65.1
40108,-0.978,65.1
40107,-0.978,65.1
40106,-0.978,65.1
40105,-0.978,65.1
40104,-0.978,65.1
40103,-0.978,65.1
40102,-0.978,65.1
40101,-0.978,65.1
40100,-0.978,65.1
40099,-0.978,65.1
40098,-0.978,65.1
40097,-0.978,65.1
40096,-0.978,65.1
40095,-0.978,65.1
40094,-0.978,65.1
40093,-0.978,65.1
40092,-0.978,65.1
40091,-0.978,65.1
40090,-0.978,65.1
40089,-0.978,65.1
40088,-0.978,65.1
40087,-0.978,65.1
40086,-0.978,65.1
40085,-0.978,65.1
40084,-0.978,65.1
40083,-0.978,65.1
40082,-0.978,65.1
40081,-0.978,65.1
40080,-0.978,65.1
40079,-0.978,65.1
40078,-0.978,65.1
40077,-0.978,65.1
40076,-0.978,65.1
40075,-0.978,65.1
40074,-0.978,65.1
40073,-0.978,65.1
40072,-0.978,65.1
40071,-0.978,65.1
40070,-0.978,65.1
40069,-0.978,65.1
40068,-0.978,65.1
40067,-0.978,65.1
40066,-0.978,65.1
40065,-0.978,65.1
40064,-0.978,65.1
40063,-0.978,65.1
40062,-0.978,65.1
40061,-0.978,65.1
40060,-0.978,65.1
40059,-0.978,65.1
40058,-0.978,65.1
40057,-0.978,65.1
40056,-0.978,65.1
40055,-0.978,65.1
40054,-0.978,65.1
40053,-0.978,65.1
40052,-0.978,65.1
40051,-0.978,65.1
40050,-0.978,65.1
40049,-0.978,65.1
40048,-0.978,65.1
40047,-0.978,65.1
40046,-0.978,65.1
40045,-0.978,65.1
40044,-0.978,65.1
40043,-0.978,65.1
40042,-0.978,65.1
40041,-0.978,65.1
40040,-0.978,65.1
40039,-0.978,65.1
40038,-0.978,65.1
40037,-0.978,65.1
40036,-0.978,65.1
40035,-0.978,65.1
40034,-0.978,65.1
40033,-0.978,65.1
40032,-0.978,65.1
40031,-0.978,65.1
40030,-0.978,65.1
40029,-0.978,65.1
40028,-0.978,65.1
40027,-0.978,65.1
40026,-0.978,65.1
40025,-0.978,65.1
40024,-0.978,65.1
40023,-0.978,65.1
40022,-0.978,65.1
40021,-0.978,65.1
40020,-0.978,65.1
40019,-0.978,65.1
40018,-0.978,65.1
40017,-0.978,65.1
40016,-0.978,65.1
40015,-0.978,65.1
40014,-0.978,65.1
40013,-0.978,65.1
40012,-0.978,65.1
40011,-0.978,65.1
40010,-0.978,65.1
40009,-0.978,65.1
40008,-0.978,65.1
40007,-0.978,65.1
40006,-0.978,65.1
40005,-0.978,65.1
40004,-0.978,65.1
40003,-0.978,65.1
40002,-0.978,65.1
40001,-0.978,65.1
40000,-0.978,65.1
39999,-0.978,65.1
39998,-0.978,65.1
39997,-0.978,65.1
39996,-0.978,65.1
39995,-0.978,65.1
39994,-0.978,65.1
39993,-0.978,65.1
39992,-0.978,65.1
39991,-0.978,65.1
39990,-0.978,65.1
39989,-0.978,65.1
39988,-0.978,65.1
39987,-0.978,65.1
39986,-0.978,65.1
39985,-0.978,65.1
39984,-0.978,65.1
39983,-0.978,65.1
39982,-0.978,65.1
39981,-0.978,65.1
39980,-0.978,65.1
39979,-0.978,65.1
39978,-0.978,65.1
39977,-0.978,65.1
39976,-0.978,65.1
39975,-0.978,65.1
39974,-0.978,65.1
39973,-0.978,65.1
39972,-0.978,65.1
39971,-0.978,65.1
39970,-0.978,65.1
39969,-0.978,65.1
39968,-0.978,65.1
39967,-0.978,65.1
39966,-0.978,65.1
39965,-0.978,65.1
39964,-0.978,65.1
39963,-0.978,65.1
39962,-0.978,65.1
39961,-0.978,65.1
39960,-0.978,65.1
39959,-0.978,65.1
39958,-0.978,65.1
39957,-0.978,65.1
39956,-0.978,65.1
39955,-0.978,65.1
39954,-0.978,65.1
39953,-0.978,65.1
39952,-0.978,65.1
39951,-0.978,65.1
39950,-0.978,65.1
39949,-0.978,65.1
39948,-0.978,65.1
39947,-0.978,65.1
39946,-0.978,65.1
39945,-0.978,65.1
39944,-0.978,65.1
39943,-0.978,65.1
39942,-0.978,65.1
39941,-0.978,65.1
39940,-0.978,65.1
39939,-0.978,65.1
39938,-0.978,65.1
39937,-0.978,65.1
39936,-0.978,65.1
39935,-0.978,65.1
39934,-0.978,65.1
39933,-0.978,65.1
39932,-0.978,65.1
39931,-0.978,65.1
39930,-0.978,65.1
39929,-0.978,65.1
39928,-0.978,65.1
39927,-0.978,65.1
39926,-0.978,65.1
39925,-0.978,65.1
39924,-0.978,65.1
39923,-0.978,65.1
39922,-0.978,65.1
39921,-0.978,65.1
39920,-0.978,65.1
39919,-0.978,65.1
39918,-0.978,65.1
39917,-0.978,65.1
39916,-0.978,65.1
39915,-0.978,65.1
39914,-0.978,65.1
39913,-0.978,65.1
39912,-0.978,65.1
39911,-0.978,65.1
39910,-0.978,65.1
39909,-0.978,65.1
39908,-0.978,65.1
39907,-0.978,65.1
39906,-0.978,65.1
39905,-0.978,65.1
39904,-0.978,65.1
39903,-0.978,65.1
39902,-0.978,65.1
39901,-0.978,65.1
39900,-0.978,65.1
39899,-0.978,65.1
39898,-0.978,65.1
39897,-0.978,65.1
39896,-0.978,65.1
39895,-0.978,65.1
39894,-0.978,65.1
39893,-0.978,65.1
39892,-0.978,65.1
39891,-0.978,65.1
39890,-0.978,65.1
39889,-0.978,65.1
39888,-0.978,65.1
39887,-0.978,65.1
39886,-0.978,65.1
39885,-0.978,65.1
39884,-0.978,65.1
39883,-0.978,65.1
39882,-0.978,65.1
39881,-0.978,65.1
39880,-0.978,65.1
39879,-0.978,65.1
39878,-0.978,65.1
39877,-0.978,65.1
39876,-0.978,65.1
39875,-0.978,65.1
39874,-0.978,65.1
39873,-0.978,65.1
39872,-0.978,65.1
39871,-0.978,65.1
39870,-0.978,65.1
39869,-0.978,65.1
39868,-0.978,65.1
39867,-0.978,65.1
39866,-0.978,65.1
39865,-0.978,65.1
39864,-0.978,65.1
39863,-0.978,65.1
39862,-0.978,65.1
39861,-0.978,65.1
39860,-0.978,65.1
39859,-0.978,65.1
39858,-0.978,65.1
39857,-0.978,65.1
39856,-0.978,65.1
39855,-0.978,65.1
39854,-0.978,65.1
39853,-0.978,65.1
39852,-0.978,65.1
39851,-0.978,65.1
39850,-0.978,65.1
39849,-0.978,65.1
39848,-0.978,65.1
39847,-0.978,65.1
39846,-0.978,65.1
39845,-0.978,65.1
39844,-0.978,65.1
39843,-0.978,65.1
39842,-0.978,65.1
39841,-0.978,65.1
39840,-0.978,65.1
39839,-0.978,65.1
39838,-0.978,65.1
39837,-0.978,65.1
39836,-0.978,65.1
39835,-0.978,65.1
39834,-0.978,65.1
39833,-0.978,65.1
39832,-0.978,65.1
39831,-0.978,65.1
39830,-0.978,65.1
39829,-0.978,65.1
39828,-0.978,65.1
39827,-0.978,65.1
39826,-0.978,65.1
39825,-0.978,65.1
39824,-0.978,65.1
39823,-0.978,65.1
39822,-0.978,65.1
39821,-0.978,65.1
39820,-0.978,65.1
39819,-0.978,65.1
39818,-0.978,65.1
39817,-0.978,65.1
39816,-0.978,65.1
39815,-0.978,65.1
39814,-0.978,65.1
39813,-0.978,65.1
39812,-0.978,65.1
39811,-0.978,65.1
39810,-0.978,65.1
39809,-0.978,65.1
39808,-0.978,65.1
39807,-0.978,65.1
39806,-0.978,65.1
39805,-0.978,65.1
39804,-0.978,65.1
39803,-0.978,65.1
39802,-0.978,65.1
39801,-0.978,65.1
39800,-0.978,65.1
39799,-0.978,65.1
39798,-0.978,65.1
39797,-0.978,65.1
39796,-0.978,65.1
39795,-0.978,65.1
39794,-0.978,65.1
39793,-0.978,65.1
39792,-0.978,65.1
39791,-0.978,65.1
39790,-0.978,65.1
39789,-0.978,65.1
39788,-0.978,65.1
39787,-0.978,65.1
39786,-0.978,65.1
39785,-0.978,65.1
39784,-0.978,65.1
39783,-0.978,65.1
39782,-0.978,65.1
39781,-0.978,65.1
39780,-0.978,65.1
39779,-0.978,65.1
39778,-0.978,65.1
39777,-0.978,65.1
39776,-0.978,65.1
39775,-0.978,65.1
39774,-0.978,65.1
39773,-0.978,65.1
39772,-0.978,65.1
39771,-0.978,65.1
39770,-0.978,65.1
39769,-0.978,65.1
39768,-0.978,65.1
39767,-0.978,65.1
39766,-0.978,65.1
39765,-0.978,65.1
39764,-0.978,65.1
39763,-0.978,65.1
39762,-0.978,65.1
39761,-0.978,65.1
39760,-0.978,65.1
39759,-0.978,65.1
39758,-0.978,65.1
39757,-0.978,65.1
39756,-0.978,65.1
39755,-0.978,65.1
39754,-0.978,65.1
39753,-0.978,65.1
